Slide Number,Text
1,편견 을 걷어내면  인재 가 보입니다 직장 내 장애인 인식개선 교육 장애인 고용
2,"장애인 고용 ,  기업에게 어떤 의미가 있을까 함께 일하는 동료 이해하기  장애인 고용 ,  이렇게 할 수 있습니다  함께 일하기 ,  이렇게 하면 잘 할 수 있습니다  01 02 03 04 목  차"
3,"01 장애인 고용 , 기업에게 어떤 의미가 있을까"
4,"차별도 우대도 없었던   게임 산업 분위기 속  장애인 고용의 돌파구 2011 년 ㈜ 넥슨커뮤니케이션즈 ( 넥슨컴즈 ) 를 설립하고   넥슨의 게임 운영 서비스지원과 고객 지원 업무를 담당함 * 게임 홈페이지 관리 ,  게임 상담 ,  모니터링 등 4 개월간의 직무훈련을 거친 장애인  23 명이   처음으로 산업에 입사하게 됨 실력으로 당당히  No.1  게임 기업의 일원이 되다 ! 장애인고용 기업 사례 넥슨컴즈의  장애인 고용 주력부서  웹서비스 운영팀 상시 근로자  2,691 명  /  장애인 근로자  33 명 (2.04%) * 2018.12 월 기준 모든 출입문 문턱 제거 통로 간격 확장 핸드레일 78% 가 장애인 직원 이중  중증장애인 비율  73%"
5,"장애인 업무의 한계를 없애다   상시  근로자  100,016 명  /  장애인  근로자  1,386 명 (1.54%)  * 2018.12 월 기준 장애물 없는 생활환경  (Barrier Free) 자체 인증 제도를 각 사업장에 도입  상담심리사를 상주시켜  직무갈등 ,  대인관계 등 고충을 해결  업무에 집중할 환경을 마련  장애인 고객의 입장에서  바라본   기술개발에도 적극 참여  장애인은   단순 업무만 해야 하나 ? ‘ 삼성전자 맞춤형 인재 ’ 로 성장하는데 있어서  비장애인과 장애인의 구분은 의미가 없다고 판단 , 직무교육을 거쳐 고용된 장애인은 각 사업장에서  전기 · 전자 ,  정보기술 ,  기계디자인 분야에서 근무 중 장애인고용 기업 사례 장애인 고용 전문가와 함께 다양한 장애인 고용 대책 마련"
6,기업  ESG  경영 전략으로의  ‘ 장애인고용 ’ 환 경 사 회 지배구조 | ESG  경영전략  | |  사회적 가치실현  | 기업이 사회적 책임을 완수할 수 있는  가장 효과적인 방법의 일환으로 ‘ 장애인 고용 ’ 에 대한 관심 확대 기업의 사회적  책임 · 이행  지속가능경영  수단  장애인노동력  활용  미고용  부담금  감면  고용장려금  수혜  |   기업의 장애인 고용 이점   | 장애인고용의 의미
7,다양성 관리 전략으로의 ‘장애인고용’ 장애인고용의 의미 |  다양성 관리  | 다양한 근로자들의   적절한 능력 배합 조직 이익 극대화 포춘지  선정  100 대 기업의 다양성 관리 분석 42% 의 기업 “다양한 노동력”   정의에 장애인을 포함
8,"사회전체의 행복과 복지 수준은  그 사회에서 가장 소외되거나 배제된 약자의 행복과 복지수준에 의해 결정된다 . 즉 ,  사회적으로 가장 열악한 처지에 있는 소득계층의 복지를 극대화 하는  분배가   최적 재분배이다 . 최소 수혜자에게 최대의 이득이 될 때 ,  이러한 불평등은 오히려 정의로운 것으로 정당화될 수 있다 .    _  존  롤스 ,  정의론 (A Theory of Justice)  중  존  롤스  「정의론」 중 ,  최소극대화의 법칙 보충 논리 한 개인이  행복하려면  사회구성원 모두가  안전해야 함 그러한  사회 구축을 위한  노력 필요 ! 기업의  장애인 고용이  가지는  정당성의 논리"
9,‘ 기회’의  평등과 ‘ 조건’의  평등  보충 논리 우리사회 구성원 모두 안전하고 행복하게 살기 위해서는  ‘ 기회 ’ 의 평등과 함께  ‘ 조건 ’ 의 평등이 갖추어져야 함 기회의 평등 조건의 평등
10,"장애인과 함께 성장하고 있는 기업들  장애인 고용 ,  다른 기업은 어떻게 하고 있을까 ?  이랜드리테일 서울대학교치과병원 장애인 근로자  70 명 상시 근로자 3,754 명   *2018.12 월 기준 *2020.9 월 기준 장애인 근로자 17 명 상시 근로자 550 명   3.01 % 3.1 % ‘ 장애우 ’ 라는 호칭 바꾸기부터 시작 매장별  멘토를 지정해 현장업무에 잘 적응하도록 지원 지점의 인사담당자가 정기면담을 진행해  고충 처리 노력  1 노력  2 한국장애인고용공단과 협력하여 , 중증 · 장년 · 여성 장애인고용을 위한 직무개발  공단의 면접 교육 ,  수어  통역 지원 등으로 직무수행능력과 조직적합성을 갖춘 인력 선발 노력  1 노력  2 2018 년부터 모든 현장 직원 대상으로 직장내 장애인인식개선 교육을 시행하는 등 장애인 직원이 장기간 근무할 수 있는 여건 마련 구성원 간의 화합을 강조 전사적인 장애인 직무 개발 노력으로  1 년 만에 고용률 성장"
